X,Y,Z
12934.971,17875.842,44.43
13357.116,16553.541,114.879
13642.991,22488.482,62.092
15600.54,16936.34,42.656
16636.805,16123.641,-48.068
4105.267,15398.73,60.505
4960.696,17649.783,-31.21
6783.754,15945.308,1.779
7041.679,13690.376,17.728
7356.304,14702.018,33.9
7735.934,20368.174,-9.474
7894.24,23321.711,23.812
9920.545,21679.59,105.515
12869.392,20131.799,152.135
13113.667,26726.953,20.821
14745.461,24634.404,-20.288
14912.523,17124.061,137.967
15019.994,19030.369,398.421
16806.98,25343.66,57.984
5022.333,17722.158,8.314
6298.205,19991.055,58.687
7476.25,18900.646,7.562
8909.95,14656.357,42.464
9356.513,18898.098,285.16
9530.056,16777.23,316.979
9743.966,13763.893,21.418
11588.493,19623.754,81.669
12012.105,13708.075,153.172
12869.966,20118.133,146.218
13029.667,18447.367,-39.076
13236.239,22241.375,-10.672
13058.59,26759.904,196.841
14577.994,15922.431,96.07
14938.238,25564.32,68.761
16396.287,17324.432,209.771
4281.94,15121.16,169.276
5623.367,20018.467,51.685
8442.391,14675.439,101.301
9700.57,13770.528,51.575
9556.721,17143.688,330.809
10714.534,20718.857,196.721
12081.196,24786.613,33.875
13054.174,23219.086,-16.15
15026.574,23343.535,-9.304
15307.49,19688.043,220.076
15969.318,16147.052,116.973
16386.838,17370.928,47.454
16558.072,15855.114,40.988
16915.736,18725.482,-12.233
4409.65,16174.987,-23.245
5346.194,17628.373,8.529
5498.504,16623.125,-19.307
6811.077,21142.836,9.965
8602.319,15212.372,16.637
9793.316,13757.489,208.1
9887.132,15820.233,-25.697
10722.821,18014.76,-26.217
11160.657,23790.613,10.031
11535.146,17896.014,14.777
13087.247,23250.436,-40.688
13833.449,27716.938,266.694
14861.396,16727.531,121.916
15011.647,23351.814,33.514
15143.771,15766.514,64.71
15582.375,25017.102,67.217
16355.644,16654.971,125.751
16576.713,15830.869,5.358
6732.293,23458.5,11.039
8306.88,21506.191,-20.722
10811.69,16445.043,-45.103
11483.941,24843.748,40.269
11800.332,14387.052,-3.39
15024.795,15768.573,173.871
15626.435,22616.934,24.564
16699.295,15873.344,60.79
5158.379,14204.004,71.499
10745.451,16430.066,62.228
11910.658,18390.682,40.458
12844.468,21176.717,106.769
14290.706,18293.811,61.776
15970.668,16193.128,52.676
16438.742,17283.939,-8.09
16788.799,23827.184,330.539
16882.439,26054.916,4.211
4481.478,16863.385,51.958
5871.042,14612.24,-45.129
6227.047,22105.699,59.952
6994.388,16756.771,49.64
7304.435,14805.815,107.024
7510.532,17608.184,-15.435
9016.324,15256.74,42.804
10230.502,13852.532,138.583
10347.307,19225.135,38.422
12658.13,25160.219,183.035
13084.043,20098.73,102.857
15129.495,21065.869,2.253
16185.438,18410.77,89.833
4466.508,16856.195,31.2
5979.155,19861.77,206.047
7322.806,14809.876,108.895
10040.033,19888.152,22.05
10341.29,19252.062,-12.998
11375.802,17197.197,-15.387
14179.379,24217.922,90.843
14779.427,17729.852,98.434
15142.396,25391.299,29.841
15451.767,22781.055,55.121
16233.048,16314.376,33.316
16864.994,26117.012,47.222
7065.564,13735.958,261.632
7165.314,20512.844,-12.815
8563.34,18385.277,-30.021
9197.396,25115.021,49.986
10442.711,19223.008,22.012
11011.674,13779.932,229.633
11487.788,17292.768,60.896
12039.951,22769.316,72.589
12849.762,22996.736,77.109
13275.539,22240.43,-9.994
